time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8
18:34:52,29,15,5,45,50,8,12,24,23,12,7,15,17,7,12,18
18:35:20,29,15,5,45,51,8,12,24,23,12,7,15,17,7,12,18
18:35:51,27,13,4,44,49,6,10,21,21,10,5,12,14,5,10,16
18:36:21,29,16,5,47,53,8,12,24,23,12,7,15,17,7,12,18
18:36:52,29,15,5,48,54,8,12,23,23,12,7,15,17,7,12,18
18:37:20,30,15,5,49,54,8,12,24,23,12,7,15,17,7,12,18
18:37:51,29,15,5,47,52,8,12,24,23,12,7,15,17,7,12,18
18:38:21,30,16,5,47,53,8,12,24,24,13,7,15,17,7,12,18
18:38:52,29,15,5,47,52,8,12,24,24,12,7,15,17,7,12,18
18:39:20,30,16,5,47,52,8,12,24,24,12,7,15,17,7,12,19
18:39:51,29,16,5,47,52,8,12,24,23,12,7,15,17,7,12,19
18:40:21,30,16,5,47,52,8,12,24,24,12,7,15,17,7,12,19
18:40:52,30,16,5,47,52,8,12,24,24,12,7,14,17,7,13,19
18:41:20,29,15,5,47,52,7,12,24,23,12,7,15,17,7,12,18
18:41:51,30,16,5,47,52,8,12,24,24,12,7,15,17,7,12,18
18:42:21,29,16,5,47,52,8,12,24,23,12,7,15,17,7,12,18
18:42:52,30,15,5,48,52,8,12,24,24,12,7,15,17,7,12,18
18:43:20,29,15,5,48,52,8,12,24,23,12,7,15,17,7,12,18
18:43:51,30,16,5,49,52,8,12,24,25,12,7,15,17,7,12,18
18:44:21,30,16,5,49,52,8,12,24,24,13,7,15,17,7,12,18
18:44:52,29,16,5,49,52,8,12,24,23,12,7,15,17,7,12,18
18:45:20,29,16,5,50,52,8,12,24,23,12,7,15,17,7,12,18
18:45:51,29,16,5,51,52,8,12,24,24,12,7,15,17,7,12,18
18:46:21,29,16,5,53,52,8,12,24,23,12,7,15,17,7,12,18
18:46:51,29,15,5,55,52,8,12,24,24,12,7,15,17,7,12,18
18:47:22,29,15,5,58,51,8,12,24,23,12,7,15,17,7,12,18
18:47:50,30,16,5,62,52,8,12,25,24,12,7,15,17,7,12,18
18:48:21,29,16,5,67,51,8,12,24,23,12,7,15,17,7,12,18
18:48:51,29,15,5,72,52,7,11,24,23,12,7,15,17,7,12,18
18:49:22,29,15,5,80,52,8,12,24,24,12,7,15,17,7,12,18
18:49:50,29,16,5,87,51,8,12,24,23,12,7,15,17,7,12,18
18:50:21,29,16,5,96,52,8,11,24,24,12,7,15,17,7,12,18
18:50:51,29,15,5,106,52,8,12,24,23,12,7,15,17,7,12,18
18:51:22,29,16,5,115,52,8,12,24,23,12,7,15,17,7,12,18
18:51:50,30,16,5,125,52,8,12,24,24,13,7,15,17,7,12,18
18:52:21,30,16,6,132,52,8,12,24,24,13,7,16,17,7,12,18
18:52:51,31,16,5,140,52,8,12,24,25,13,7,15,17,7,12,18
18:53:22,30,16,5,145,52,8,12,24,24,13,7,15,17,7,12,18
18:53:50,29,15,5,150,51,8,12,24,23,12,7,15,18,7,12,18
18:54:21,30,16,5,153,52,8,11,24,24,13,7,15,17,7,12,18
